season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,13,NE,NYG,NE,0.726602
2025,13,TEN,JAX,JAX,0.755746
2025,13,IND,HOU,IND,0.719362
2025,13,LAC,LV,LAC,0.723944
2025,13,PHI,CHI,PHI,0.542778
2025,13,DAL,KC,DAL,0.521816
2025,13,WSH,DEN,WSH,0.509874
2025,13,DET,GB,DET,0.530944
2025,13,TB,ARI,TB,0.62417
2025,13,CAR,LAR,LAR,0.748806
2025,13,SEA,MIN,SEA,0.76787
2025,13,NYJ,ATL,ATL,0.647536
2025,13,MIA,NO,MIA,0.699642
2025,13,BAL,CIN,BAL,0.697765
2025,13,PIT,BUF,BUF,0.716601
2025,13,CLE,SF,SF,0.70509
