season,week,team_abbr,opponent_abbr,predicted_winner,winner_probability
2025,18,NE,MIA,NE,0.757367
2025,18,HOU,IND,HOU,0.560746
2025,18,JAX,TEN,JAX,0.738285
2025,18,DEN,LAC,LAC,0.523169
2025,18,LV,KC,KC,0.55032
2025,18,PHI,WSH,PHI,0.591828
2025,18,NYG,DAL,DAL,0.650167
2025,18,MIN,GB,MIN,0.549268
2025,18,CHI,DET,DET,0.530138
2025,18,ATL,NO,ATL,0.53443
2025,18,TB,CAR,TB,0.640022
2025,18,BUF,NYJ,BUF,0.85564
2025,18,SF,SEA,SF,0.591354
2025,18,LAR,ARI,LAR,0.739995
2025,18,PIT,BAL,BAL,0.604721
2025,18,CIN,CLE,CIN,0.806274
