Home Team,Away Team,Predicted Winner,Win Probability,Win Spread,Versus Book,Book Spread
HOU,BUF,BUF,0.5071324,-1.3,with,-1.2
TEN,NYJ,TEN,0.5804572,-2.2,with,-2.6
IND,BAL,BAL,0.5812667,-2.2,with,-3.6
JAX,CLE,JAX,0.7750902,-8.1,with,-7.5
KC,DEN,DEN,0.67354923,-4.4,against,2.7
LV,MIA,MIA,0.70211315,-5.3,against,3.2
LAC,ARI,LAC,0.70082706,-5.3,with,-10.5
PHI,WSH,PHI,0.6922699,-5.0,with,-4.6
NYG,DAL,DAL,0.6179532,-3.0,with,-2.3
MIN,GB,GB,0.6465972,-3.7,with,-0.9
DET,NO,DET,0.6466389,-3.7,with,-7.1
CAR,CHI,CHI,0.64880323,-3.7,with,-2.4
SEA,NE,SEA,0.57890546,-2.2,with,-4.1
LAR,SF,LAR,0.57588625,-2.1,with,-3.4
PIT,ATL,PIT,0.57097304,-2.0,with,-2.9
CIN,TB,CIN,0.5625725,-1.9,with,-3.5
